Lon,Lat,Z
60.368713,5.362085,58.508
60.368739,5.362047,61.608
60.368739,5.362047,61.608
60.368805,5.361952,61.035
60.368893,5.361871,60.349
60.368935,5.361836,60.023
60.368994,5.361802,59.594
60.369036,5.361719,59.176
60.369125,5.36165,58.498
60.369214,5.36158,57.822
60.369359,5.361464,56.716
60.369483,5.361378,55.788
60.369573,5.361317,55.113
60.369694,5.361237,54.208
60.369694,5.361237,54.208
60.369787,5.361182,57.108
60.369787,5.361182,57.108
60.369821,5.361146,56.748
60.369919,5.361081,55.777
60.369979,5.361042,55.193
60.370034,5.360996,54.633
60.370139,5.360935,53.606
60.370268,5.36084,52.315
60.370375,5.360774,51.274
60.37048,5.360697,50.224
60.370583,5.360629,49.208
60.37839,5.360425,43.008
60.378427,5.360443,43.322
60.378535,5.360495,44.241
60.378647,5.360523,45.156
60.378737,5.360536,45.906
60.378869,5.360538,46.992
60.378952,5.360537,47.755
60.378979,5.360537,47.901
60.379001,5.360534,48.088
60.379082,5.360536,46.702
60.379172,5.360525,47.208
60.379305,5.360501,47.708
60.379407,5.360474,48.008
60.379469,5.360449,48.008
60.379515,5.360428,48.108
60.379558,5.360408,48.508
60.379649,5.360353,48.708
60.379713,5.360322,48.708
60.379789,5.360277,49.108
60.379907,5.360204,50.008
60.380047,5.360121,52.398
60.380217,5.360003,50.308
60.380317,5.359932,52.156
60.380385,5.35989,53.398
60.380408,5.359882,53.805
60.380492,5.359825,54.17
60.380561,5.35978,51.762
60.381413,5.359278,56.208
60.38155,5.359185,56.408
60.381104,5.359466,52.808
60.381159,5.359429,54.408
60.381238,5.359384,55.908
60.381413,5.359278,56.208
60.38155,5.359185,56.408
60.381622,5.359145,56.508
60.38172,5.359087,56.658
60.381939,5.358955,57.108
60.381979,5.358927,57.108
60.382144,5.358826,57.408
60.382299,5.358724,57.508
60.382427,5.358644,57.608
60.382575,5.358552,57.708
60.382706,5.358474,57.808
60.382862,5.358348,57.908
60.38302,5.35821,57.808
60.383188,5.35806,57.808
60.383355,5.357922,57.808
60.383499,5.357785,57.81
60.383499,5.357785,57.81
60.383573,5.357723,58.308
60.372542,5.35931,43.208
60.372691,5.359261,43.208
60.372841,5.359252,43.108
60.374075,5.359271,42.808
60.375711,5.359145,47.508
60.371931,5.359715,47.347
60.372056,5.359638,46.308
60.3722,5.359547,45.308
60.372332,5.359446,44.308
60.372519,5.359325,43.327
60.372519,5.359325,43.327
60.372542,5.35931,43.208
60.37181,5.359781,48.205
60.371863,5.359755,51.205
60.359014,5.368241,76.109
60.359138,5.36823,75.609
60.359247,5.36823,75.409
60.359375,5.368231,75.409
60.359497,5.368231,75.409
60.359626,5.368231,75.409
60.359754,5.368234,75.409
60.359884,5.368223,75.409
60.360014,5.36821,75.409
60.360063,5.368215,75.409
60.360145,5.368216,75.65
